State,FIPS,Adult obesity
FL,12101,0.285
FL,12101,0.286
FL,12103,0.238
FL,12103,0.24
FL,12105,0.321
FL,12105,0.307
FL,12107,0.338
FL,12107,0.331
FL,12113,0.28
FL,12113,0.282
FL,12115,0.202
FL,12115,0.206
FL,12117,0.249
FL,12117,0.253
FL,12109,0.226
FL,12109,0.23
FL,12111,0.287
FL,12111,0.298
FL,12119,0.281
FL,12119,0.289
FL,12121,0.31
FL,12121,0.316
FL,12123,0.359
FL,12123,0.365
FL,12125,0.38
FL,12125,0.379
FL,12127,0.258
FL,12127,0.273
FL,12129,0.362
FL,12129,0.371
FL,12131,0.267
FL,12131,0.272
FL,12133,0.364
FL,12133,0.373
GA,13001,0.343
GA,13001,0.347
GA,13003,0.308
GA,13003,0.342
GA,13005,0.308
GA,13005,0.318
GA,13007,0.326
GA,13007,0.319
GA,13009,0.32
GA,13009,0.318
GA,13011,0.282
GA,13011,0.281
GA,13013,0.322
GA,13013,0.329
GA,13015,0.294
GA,13015,0.316
GA,13017,0.334
GA,13017,0.35
GA,13019,0.301
GA,13019,0.324
GA,13021,0.303
GA,13021,0.286
GA,13023,0.301
GA,13023,0.315
GA,13025,0.31
GA,13025,0.318
GA,13027,0.333
GA,13027,0.351
GA,13029,0.283
GA,13029,0.27
GA,13031,0.33
GA,13031,0.325
GA,13033,0.359
GA,13033,0.326
GA,13035,0.336
GA,13035,0.325
GA,13037,0.317
GA,13037,0.331
GA,13039,0.286
GA,13039,0.315
GA,13043,0.32
GA,13043,0.326
GA,13045,0.314
GA,13045,0.306
GA,13047,0.31
GA,13047,0.302
GA,13049,0.315
GA,13049,0.322
GA,13051,0.268
GA,13051,0.279
GA,13053,0.305
GA,13053,0.307
GA,13055,0.328
GA,13055,0.346
GA,13057,0.279
GA,13057,0.262
GA,13059,0.267
GA,13059,0.265
GA,13061,0.336
GA,13061,0.327
GA,13063,0.361
GA,13063,0.375
GA,13065,0.327
GA,13065,0.323
GA,13067,0.234
GA,13067,0.223
GA,13069,0.305
GA,13069,0.322
GA,13071,0.326
GA,13071,0.321
GA,13073,0.264
GA,13073,0.262
GA,13075,0.317
GA,13075,0.293
GA,13077,0.296
GA,13077,0.28
GA,13079,0.307
GA,13079,0.31
GA,13081,0.338
GA,13081,0.331
GA,13083,0.309
GA,13083,0.31
GA,13085,0.275
GA,13085,0.283
GA,13089,0.255
GA,13089,0.264
GA,13087,0.317
GA,13087,0.331
GA,13091,0.358
GA,13091,0.323
GA,13093,0.317
GA,13093,0.334
GA,13095,0.381
GA,13095,0.368
GA,13097,0.346
GA,13097,0.333
GA,13099,0.305
GA,13099,0.298
GA,13101,0.283
GA,13101,0.29
GA,13103,0.31
GA,13103,0.33
GA,13105,0.355
GA,13105,0.338
GA,13107,0.3
GA,13107,0.318
GA,13109,0.348
GA,13109,0.354
GA,13111,0.29
GA,13111,0.279
GA,13113,0.25
GA,13113,0.271
GA,13115,0.274
GA,13115,0.28
GA,13117,0.219
GA,13117,0.249
GA,13119,0.265
GA,13119,0.261
GA,13121,0.229
GA,13121,0.218
GA,13123,0.291
GA,13123,0.289
GA,13125,0.286
GA,13125,0.301
GA,13127,0.282
GA,13127,0.278
GA,13129,0.285
GA,13129,0.285
GA,13131,0.323
GA,13131,0.327
GA,13133,0.319
GA,13133,0.299
GA,13135,0.253
GA,13135,0.271
GA,13137,0.276
GA,13137,0.289
GA,13139,0.29
GA,13139,0.261
GA,13141,0.387
GA,13141,0.37
GA,13143,0.316
GA,13143,0.291
GA,13145,0.282
GA,13145,0.287
GA,13147,0.284
GA,13147,0.301
GA,13149,0.289
GA,13149,0.293
GA,13151,0.285
GA,13151,0.303
GA,13153,0.299
GA,13153,0.324
GA,13155,0.31
GA,13155,0.309
GA,13157,0.264
GA,13157,0.285
GA,13159,0.298
GA,13159,0.294
GA,13161,0.285
GA,13161,0.284
GA,13163,0.378
GA,13163,0.381
GA,13165,0.319
GA,13165,0.317
GA,13167,0.325
GA,13167,0.317
GA,13169,0.31
GA,13169,0.317
GA,13171,0.332
GA,13171,0.343
GA,13173,0.292
GA,13173,0.318
GA,13175,0.352
GA,13175,0.349
GA,13177,0.308
GA,13177,0.318
GA,13179,0.331
GA,13179,0.32
GA,13181,0.354
GA,13181,0.334
GA,13183,0.305
GA,13183,0.293
GA,13185,0.313
GA,13185,0.293
GA,13187,0.288
GA,13187,0.293
GA,13193,0.342
GA,13193,0.338
GA,13195,0.317
GA,13195,0.309
GA,13197,0.319
GA,13197,0.327
GA,13189,0.325
GA,13189,0.348
GA,13191,0.315
GA,13191,0.311
GA,13199,0.323
GA,13199,0.328
GA,13201,0.316
GA,13201,0.316
GA,13205,0.313
GA,13205,0.317
GA,13207,0.326
GA,13207,0.343
GA,13209,0.327
GA,13209,0.362
GA,13211,0.315
GA,13211,0.31
GA,13213,0.277
GA,13213,0.282
GA,13215,0.358
GA,13215,0.362
GA,13217,0.317
GA,13217,0.335
GA,13219,0.267
GA,13219,0.291
GA,13221,0.289
GA,13221,0.294
GA,13223,0.256
GA,13223,0.268
GA,13225,0.337
GA,13225,0.348
GA,13227,0.259
GA,13227,0.271
GA,13229,0.306
GA,13229,0.308
GA,13231,0.313
GA,13231,0.307
GA,13233,0.264
GA,13233,0.283
GA,13235,0.307
GA,13235,0.319
GA,13237,0.323
GA,13237,0.317
GA,13239,0.312
GA,13239,0.312
GA,13241,0.292
GA,13241,0.305
GA,13243,0.365
GA,13243,0.365
GA,13245,0.33
GA,13245,0.332
GA,13247,0.331
GA,13247,0.327
GA,13249,0.29
GA,13249,0.296
GA,13251,0.338
GA,13251,0.341
GA,13253,0.322
GA,13253,0.296
GA,13255,0.34
GA,13255,0.355
GA,13257,0.317
GA,13257,0.302
GA,13259,0.346
GA,13259,0.328
GA,13261,0.372
GA,13261,0.35
GA,13263,0.348
GA,13263,0.338
GA,13265,0.352
GA,13265,0.35
GA,13267,0.315
GA,13267,0.352
GA,13269,0.33
GA,13269,0.326
GA,13271,0.306
GA,13271,0.3
GA,13273,0.386
GA,13273,0.354
GA,13275,0.326
GA,13275,0.31
GA,13277,0.32
GA,13277,0.323
GA,13279,0.336
GA,13279,0.332
GA,13281,0.274
GA,13281,0.27
GA,13283,0.348
GA,13283,0.342
GA,13285,0.309
GA,13285,0.299
GA,13287,0.326
GA,13287,0.343
GA,13289,0.32
GA,13289,0.314
GA,13291,0.266
GA,13291,0.252
GA,13293,0.344
GA,13293,0.324
GA,13295,0.32
GA,13295,0.334
GA,13297,0.283
GA,13297,0.3
GA,13299,0.341
GA,13299,0.343
GA,13301,0.372
GA,13301,0.352
GA,13303,0.347
GA,13303,0.353
GA,13305,0.334
GA,13305,0.324
GA,13307,0.311
GA,13307,0.315
GA,13309,0.316
GA,13309,0.327
GA,13311,0.286
GA,13311,0.275
GA,13313,0.284
GA,13313,0.288
GA,13315,0.31
GA,13315,0.329
GA,13317,0.327
GA,13317,0.337
GA,13319,0.321
GA,13319,0.34
GA,13321,0.316
GA,13321,0.342
HI,15001,0.241
HI,15001,0.245
HI,15003,0.218
HI,15003,0.221
HI,15007,0.217
HI,15007,0.214
HI,15009,0.233
HI,15009,0.227
IA,19001,0.318
IA,19001,0.323
IA,19003,0.338
IA,19003,0.325
IA,19005,0.28
IA,19005,0.295
IA,19007,0.3
IA,19007,0.295
IA,19009,0.341
IA,19009,0.326
IA,19011,0.297
IA,19011,0.3
IA,19013,0.285
IA,19013,0.286
IA,19015,0.32
IA,19015,0.303
IA,19017,0.281
IA,19017,0.304
IA,19019,0.3
IA,19019,0.312
